ID	blink_time
11	424.32
11	428.97
11	432.17
11	434.517
11	462.976
11	483.392
11	488.32
11	502.954
11	524.117
11	549.216
11	557.418
11	595.52
11	598.357
11	606.538
11	607.936
11	612.031
11	615.317
11	635.957
13	0.81
13	1.418
13	1.952
13	3.893
13	5.354
13	6.816
13	9.952
13	10.57
13	11.914
13	16.938
13	18.037
13	19.434
13	20.48
13	22.698
13	24.64
13	26.474
13	30.272
13	30.837
13	31.498
13	32.095
13	33.354
13	36.298
13	37.216
13	37.93
13	38.677
13	41.45
13	44.65
13	44.874
13	47.36
13	50.815
13	52.853
13	53.632
13	54.378
13	55.36
13	56.352
13	58.239
13	61.834
13	63.274
13	64.17
13	65.237
13	65.738
13	65.994
13	66.773
13	67.701
13	68.096
13	68.298
13	69.28
13	71.157
13	72.351
13	73.738
13	73.994
13	75.295
13	75.498
13	76.213
13	77.056
13	79.637
13	80.256
13	82.015
13	82.357
13	83.413
13	90.57
13	91.551
13	94.015
13	97.493
13	98.88
13	99.253
13	102.88
13	103.551
13	104.64
13	105.631
13	106.24
13	108.597
13	109.13
13	111.477
13	112.33
13	113.61
13	122.133
13	122.858
13	123.093
13	126.133
13	127.253
13	130.016
13	130.752
13	130.954
13	131.21
13	133.258
13	133.6
13	134.357
13	136.192
13	137.013
13	140.138
13	141.12
13	142.016
13	142.357
13	142.57
13	149.333
13	152.736
13	152.832
13	152.992
13	153.173
13	155.04
13	155.498
13	156.096
13	156.778
13	158.453
13	158.912
13	159.04
13	159.456
13	159.637
13	161.152
13	162.698
13	163.072
13	163.338
13	163.573
13	164.298
13	164.853
13	164.992
13	165.13
13	166.517
13	167.658
13	167.914
13	168.458
13	170.133
13	176.832
13	177.194
13	179.712
13	185.13
13	187.733
13	188.234
13	188.672
13	189.12
13	189.76
13	190.24
13	190.634
13	190.997
13	191.776
13	192.778
13	193.77
13	197.738
13	222.517
13	224.138
13	224.32
13	225.674
13	226.08
13	227.317
13	231.434
13	238.933
13	241.44
13	242.09
13	242.538
13	243.178
13	245.493
13	247.893
13	250.4
13	252.65
13	253.653
13	258.815
13	262.218
13	266.378
13	266.73
13	269.12
13	274.197
13	274.378
13	276.234
13	278.837
13	280.554
13	282.111
13	289.792
13	289.898
13	290.133
13	292.394
13	295.551
13	297.098
13	303.296
13	308.832
13	327.413
13	329.92
13	334.752
13	335.712
13	338.752
13	339.637
13	340.32
13	341.216
13	345.12
13	349.216
13	365.792
13	368.597
13	371.776
13	372.298
13	376.032
13	388.416
13	389.695
13	394.912
13	397.578
13	399.018
13	401.61
13	405.717
13	412.159
13	413.834
13	414.858
13	416.192
13	417.76
13	419.21
13	420.394
13	421.557
13	422.954
13	424.277
13	428.256
13	431.413
13	431.893
13	432.053
13	432.65
13	434.016
13	439.05
13	441.098
13	442.634
13	443.914
13	444.991
13	448.053
13	452.576
13	454.773
13	456.48
13	457.354
13	457.994
13	458.837
13	460.053
13	461.557
13	462.752
13	463.637
13	464.352
13	465.056
13	465.973
13	466.912
13	471.413
13	472.618
13	473.376
13	473.952
13	474.858
13	475.776
13	477.418
13	478.41
13	482.24
13	483.573
13	485.194
13	492.053
13	494.538
13	496.832
13	499.477
13	500.458
13	501.994
13	502.997
13	504.032
13	507.338
13	508.138
13	509.493
13	510.954
13	512
13	517.514
13	520.138
13	525.077
13	525.973
13	526.912
13	533.439
13	537.632
13	538.997
13	540.16
13	542.058
13	551.498
13	554.058
13	556.757
13	558.56
13	558.858
13	559.253
13	559.733
13	560.277
13	560.757
13	561.077
13	561.28
13	561.877
13	562.72
13	570.634
13	573.674
13	577.493
13	578.272
13	579.914
13	581.397
13	582.656
13	585.098
13	587.253
13	591.733
13	594.912
13	599.776
13	602.56
13	606.912
13	615.232
13	624.138
13	626.24
13	637.696
14	2.538
14	30.73
14	59.253
14	77.333
14	79.679
14	81.152
14	124.735
14	127.338
14	130.677
14	143.616
14	151.338
14	179.754
14	190.41
14	217.152
14	245.12
14	245.44
14	247.072
14	248.33
14	250.4
14	250.73
14	251.754
14	252.853
14	253.76
14	254.591
14	258.73
14	263.594
14	265.45
14	267.36
14	271.594
14	274.293
14	276.874
14	277.28
14	277.514
14	278.677
14	279.114
14	282.016
14	283.04
14	293.354
14	300.256
14	314.133
14	322.218
14	339.53
14	342.858
14	354.858
14	368.533
14	378.197
14	385.152
14	398.719
14	415.37
14	417.76
14	434.314
14	438.218
14	448.618
14	452.437
14	454.154
14	461.557
14	467.53
14	469.493
14	478.218
14	479.338
14	481.216
14	502.4
14	506.677
14	511.413
14	511.957
14	513.919
14	531.52
14	533.77
14	543.936
14	545.93
14	548.992
14	556.896
14	559.157
14	575.391
14	582.432
14	583.68
14	595.114
14	596.554
14	617.173
14	622.079
14	625.216
14	631.2
15	3.296
15	8.17
15	14.698
15	18.24
15	35.957
15	36.192
15	40.693
15	51.37
15	54.613
15	56.096
15	61.77
15	82.933
15	88.853
15	89.898
